DATE,LFWA64TTUSM647S
2016-02-01,205093630.84121498
2016-03-01,205170671.366788
2016-04-01,205242289.893671
2016-05-01,205437871.39172
2016-06-01,205574500.721712
2016-07-01,205755602.825057
2016-08-01,205659160.751862
2016-09-01,205737193.144675
2016-10-01,205833286.286532
2016-11-01,205792055.655298
2016-12-01,205884522.66564602
2017-01-01,205414205.223061
2017-02-01,205428202.032858
2017-03-01,205325622.620218
2017-04-01,205362944.44670302
2017-05-01,205528697.677542
2017-06-01,205675380.214123
2017-07-01,205820115.289649
2017-08-01,205748172.12435198
2017-09-01,205703829.98591998
2017-10-01,205720370.096162
2017-11-01,205701931.93356398
2017-12-01,205769485.489355
2018-01-01,206418541.111736
2018-02-01,206266736.702877
2018-03-01,206190991.059833
2018-04-01,206209542.811786
2018-05-01,206459230.242722
2018-06-01,206631867.324005
2018-07-01,206726757.22271
2018-08-01,206723072.595217
2018-09-01,206672135.270853
2018-10-01,206601411.90582302
2018-11-01,206524095.197255
2018-12-01,206659746.418271
2019-01-01,206389852.049239
2019-02-01,206324509.84893
2019-03-01,206212143.218796
2019-04-01,206238880.635789
2019-05-01,206603775.947303
2019-06-01,206613606.518615
2019-07-01,206578916.272795
2019-08-01,206357913.22329098
2019-09-01,206189520.465697
2019-10-01,205978136.02989498
2019-11-01,205846446.078092
2019-12-01,205818014.682609
2020-01-01,205590167.268938
2020-02-01,205399544.051635
2020-03-01,205420438.311778
2020-04-01,206948571.508977
2020-05-01,207342783.09857902
2020-06-01,205973661.31598902
2020-07-01,205989133.383752
2020-08-01,205902595.848629
2020-09-01,206158978.660477
2020-10-01,205836714.717673
2020-11-01,205862153.807538
2020-12-01,205592444.138302
2021-01-01,205218976.342176
